   MJD       EECO-REF    NIST-REF NS      DATE    COMMENTS
=========    ========    ======== ==    ========  ========
57960.3536    0.0000     2.419210 k
57960.4693    0.0000     2.432880 k
57960.5851    0.0000     2.466120 k
57960.7008    0.0000     2.459280 k
57960.8166    0.0000     2.448430 k
57960.9323    0.0000     2.465870 k
57961.0480    0.0000     2.460300 k
57961.1656    0.0000     2.473860 k
57961.2814    0.0000     2.460180 k
57961.3971    0.0000     2.479850 k
57961.5128    0.0000     2.465990 k
57961.6286    0.0000     2.487860 k
57961.7443    0.0000     2.495410 k
57961.8601    0.0000     2.498820 k
57961.9758    0.0000     2.495140 k
57962.0916    0.0000     2.481120 k
57962.2073    0.0000     2.496670 k
57962.3230    0.0000     2.513240 k
57962.4388    0.0000     2.504110 k
57962.5545    0.0000     2.520650 k
57962.6703    0.0000     2.525800 k
57962.7860    0.0000     2.527610 k
57962.9017    0.0000     2.549230 k
57963.0175    0.0000     2.546750 k
57963.1332    0.0000     2.546660 k
57963.2490    0.0000     2.561760 k
57963.3647    0.0000     2.555350 k
57963.4804    0.0000     2.525550 k
57963.5962    0.0000     2.561150 k
57963.7119    0.0000     2.579880 k
57963.8277    0.0000     2.576060 k
57963.9434    0.0000     2.545400 k
57964.0591    0.0000     2.567420 k
57964.1749    0.0000     2.601060 k
57964.6079    0.0000     2.591720 k
57964.7236    0.0000     2.600530 k
57964.8394    0.0000     2.617630 k
57964.9551    0.0000     2.619210 k
57965.0708    0.0000     2.604210 k
57965.1866    0.0000     2.629430 k
57965.3024    0.0000     2.640380 k
57965.4182    0.0000     2.637490 k
57965.5339    0.0000     2.640160 k
57965.6497    0.0000     2.656970 k
57965.7654    0.0000     2.696180 k
57965.8811    0.0000     2.674240 k
57965.9969    0.0000     2.680670 k
57966.1126    0.0000     2.677910 k
57966.2284    0.0000     2.679720 k
57966.3441    0.0000     2.676890 k
57966.4598    0.0000     2.665950 k
57966.5756    0.0000     2.689260 k
57966.6913    0.0000     2.689490 k
57966.8071    0.0000     2.702790 k
57966.9228    0.0000     2.711980 k
57967.0385    0.0000     2.706160 k
57967.1543    0.0000     2.728170 k
57967.2700    0.0000     2.685910 k
57967.3858    0.0000     2.717020 k
57967.5015    0.0000     2.710100 k
57967.6172    0.0000     2.733970 k
57967.7330    0.0000     2.738710 k
57967.8487    0.0000     2.756620 k
57967.9645    0.0000     2.741760 k
57968.0802    0.0000     2.741290 k
57968.1959    0.0000     2.754940 k
57968.3117    0.0000     2.768130 k
57968.4274    0.0000     2.778250 k
57968.5432    0.0000     2.774110 k
57968.6589    0.0000     2.779810 k
57968.7747    0.0000     2.770040 k
57968.8904    0.0000     2.792460 k
57969.0061    0.0000     2.799420 k
57969.1219    0.0000     2.801000 k
57969.2376    0.0000     2.782980 k
57969.3534    0.0000     2.798660 k
57969.4691    0.0000     2.823140 k
57972.2557    0.0000     2.912080 k
57976.2189    0.0000     3.085810 k
57976.3346    0.0000     3.086080 k
57976.4503    0.0000     3.096400 k
57976.5661    0.0000     3.098440 k
57976.6818    0.0000     3.113750 k
57976.7976    0.0000     3.128880 k
57976.9133    0.0000     3.140590 k
57977.0291    0.0000     3.126720 k
57977.1448    0.0000     3.146990 k
57977.2605    0.0000     3.117220 k
57977.3763    0.0000     3.132780 k
57977.4920    0.0000     3.151170 k
57977.6078    0.0000     3.152380 k
57977.7235    0.0000     3.158020 k
57977.8392    0.0000     3.185330 k
57977.9550    0.0000     3.184630 k
57978.0707    0.0000     3.181490 k
57978.1865    0.0000     3.181260 k
57978.3022    0.0000     3.190600 k
57978.4179    0.0000     3.185650 k
57978.5337    0.0000     3.209350 k
57978.6494    0.0000     3.191660 k
57978.7652    0.0000     3.203400 k
57978.8809    0.0000     3.219050 k
57978.9966    0.0000     3.213240 k
57979.1124    0.0000     3.221580 k
57979.2281    0.0000     3.198910 k
57979.3439    0.0000     3.219190 k
57979.4596    0.0000     3.213160 k
57979.5753    0.0000     3.227380 k
57979.6911    0.0000     3.220840 k
57979.8068    0.0000     3.246210 k
57979.9226    0.0000     3.256280 k
57980.0383    0.0000     3.248590 k
57980.1541    0.0000     3.254130 k
57980.2698    0.0000     3.274070 k
57980.3855    0.0000     3.260030 k
57980.5013    0.0000     3.257830 k
57980.6170    0.0000     3.289890 k
57980.7328    0.0000     3.286650 k
57980.8485    0.0000     3.305260 k
57980.9642    0.0000     3.308170 k
57981.0800    0.0000     3.309150 k
57981.1957    0.0000     3.294620 k
57981.3115    0.0000     3.311080 k
57981.4272    0.0000     3.273290 k
57981.5429    0.0000     3.312630 k
57981.6689    0.0000     3.337060 k
57981.7846    0.0000     3.334790 k
57981.9003    0.0000     3.353040 k
57982.0161    0.0000     3.325620 k
57982.1318    0.0000     3.355890 k
57982.2476    0.0000     3.337500 k
57982.3635    0.0000     3.353440 k
57982.4793    0.0000     3.353920 k
57982.5950    0.0000     3.367520 k
57982.7108    0.0000     3.370790 k
57982.8265    0.0000     3.337030 k
57982.9422    0.0000     3.384290 k
57983.0580    0.0000     3.387660 k
57983.1802    0.0000     3.402860 k
57983.2959    0.0000     3.415820 k
57983.4117    0.0000     3.395870 k
57983.5274    0.0000     3.385110 k
57983.6432    0.0000     3.387420 k
57983.7589    0.0000     3.432980 k
57983.8747    0.0000     3.442100 k
57983.9904    0.0000     3.433400 k
57984.1061    0.0000     3.440230 k
57984.2219    0.0000     3.432620 k
57984.3376    0.0000     3.448250 k
57984.4534    0.0000     3.437610 k
57984.5691    0.0000     3.450280 k
57984.6848    0.0000     3.465350 k
57984.8006    0.0000     3.469000 k
57984.9163    0.0000     3.468890 k
57985.0321    0.0000     3.474980 k
57985.1478    0.0000     3.457660 k
57985.2635    0.0000     3.485970 k
57985.3793    0.0000     3.478030 k
57985.4950    0.0000     3.476400 k
57985.6108    0.0000     3.503980 k
57985.7265    0.0000     3.488640 k
57985.8422    0.0000     3.521230 k
57985.9580    0.0000     3.523070 k
57986.0737    0.0000     3.503040 k
57986.1895    0.0000     3.521560 k
57986.3052    0.0000     3.522780 k
57986.5409    0.0000     3.520620 k
57986.6566    0.0000     3.533050 k
57986.7723    0.0000     3.546790 k
57986.8881    0.0000     3.577340 k
57987.0038    0.0000     3.548500 k
57987.1196    0.0000     3.565250 k
57987.2353    0.0000     3.538880 k
57987.3510    0.0000     3.568090 k
57987.4668    0.0000     3.580780 k
57987.5825    0.0000     3.596420 k
57987.6983    0.0000     3.587970 k
57987.8140    0.0000     3.605160 k
57987.9297    0.0000     3.607340 k
57988.0455    0.0000     3.601140 k
57988.1612    0.0000     3.605980 k
57988.2770    0.0000     3.595860 k
57988.3927    0.0000     3.582210 k
57988.5084    0.0000     3.618410 k
57988.6242    0.0000     3.629550 k
57988.7399    0.0000     3.634140 k
57988.8557    0.0000     3.649330 k
57988.9714    0.0000     3.646150 k
57989.0872    0.0000     3.657490 k
57989.2029    0.0000     3.653550 k
57989.3186    0.0000     3.660280 k
57989.4344    0.0000     3.657770 k
57989.5501    0.0000     3.674670 k
57989.6659    0.0000     3.661360 k
57989.7816    0.0000     3.678050 k
57989.8973    0.0000     3.684800 k
57990.0131    0.0000     3.678640 k
57990.1288    0.0000     3.687160 k
57990.2446    0.0000     3.711890 k
57990.3603    0.0000     3.686400 k
57990.4760    0.0000     3.709530 k
57990.5918    0.0000     3.722590 k
57990.7075    0.0000     3.714670 k
57990.8233    0.0000     3.734160 k
57990.9390    0.0000     3.747020 k
57991.0547    0.0000     3.721220 k
57991.1705    0.0000     3.720210 k
57993.2446    0.0000     3.822160 k
57993.3603    0.0000     3.815820 k
57993.4760    0.0000     3.804790 k
57993.5918    0.0000     3.847940 k
57993.7075    0.0000     3.848360 k
57993.8233    0.0000     3.858200 k
57993.9390    0.0000     3.866890 k
57994.0547    0.0000     3.860750 k
57994.1705    0.0000     3.864610 k
57994.2862    0.0000     3.871010 k
57994.4020    0.0000     3.873300 k
57994.5177    0.0000     3.854290 k
57994.6334    0.0000     3.882010 k
57994.7492    0.0000     3.892170 k
57994.8649    0.0000     3.907600 k
57994.9807    0.0000     3.901490 k
57995.0964    0.0000     3.920800 k
57995.2122    0.0000     3.920920 k
57995.3279    0.0000     3.924400 k
57995.4436    0.0000     3.932230 k
57995.5594    0.0000     3.931240 k
57995.6751    0.0000     3.940860 k
57995.7909    0.0000     3.958690 k
57995.9066    0.0000     3.955800 k
57996.0223    0.0000     3.956450 k
57996.1381    0.0000     3.960270 k
57996.2538    0.0000     3.980350 k
57996.3696    0.0000     3.946940 k
57996.4853    0.0000     3.958570 k
57996.6010    0.0000     3.975930 k
57996.7168    0.0000     3.987710 k
57996.8325    0.0000     4.000220 k
57996.9483    0.0000     4.001120 k
57997.0640    0.0000     4.000670 k
57997.1797    0.0000     3.984630 k
57997.2955    0.0000     4.000030 k
57997.4112    0.0000     4.021720 k
57997.5270    0.0000     3.998300 k
57997.6427    0.0000     4.034080 k
57997.7584    0.0000     4.019890 k
57997.8742    0.0000     4.030220 k
57997.9899    0.0000     4.033180 k
58026.5781    0.0000     5.330780 k
58026.6939    0.0000     5.340490 k
58026.8096    0.0000     5.343520 k
58026.9253    0.0000     5.358530 k
58027.0411    0.0000     5.373230 k
58027.1568    0.0000     5.375850 k
58027.2726    0.0000     5.360900 k
58027.3883    0.0000     5.387040 k
58027.5041    0.0000     5.392590 k
58027.6198    0.0000     5.376150 k
58027.7355    0.0000     5.414070 k
58027.8513    0.0000     5.410710 k
58027.9670    0.0000     5.410670 k
58028.0828    0.0000     5.433070 k
58028.1985    0.0000     5.413740 k
58028.3142    0.0000     5.418830 k
58028.4300    0.0000     5.440940 k
58028.5457    0.0000     5.409680 k
58028.6615    0.0000     5.445400 k
58028.7772    0.0000     5.457890 k
58028.8929    0.0000     5.449150 k
58029.0087    0.0000     5.456410 k
58029.1244    0.0000     5.459240 k
58029.2402    0.0000     5.457540 k
58029.3559    0.0000     5.461340 k
58029.4716    0.0000     5.491760 k
58029.5874    0.0000     5.442400 k
58029.7031    0.0000     5.505980 k
58029.8189    0.0000     5.514960 k
58029.9346    0.0000     5.507500 k
58030.0503    0.0000     5.499000 k
58030.1661    0.0000     5.521770 k
58030.2818    0.0000     5.443010 k
58030.3976    0.0000     5.499970 k
58030.5133    0.0000     5.502460 k
58030.6291    0.0000     5.525880 k
58030.7448    0.0000     5.526600 k
58030.8605    0.0000     5.543790 k
58030.9763    0.0000     5.549080 k
58031.0920    0.0000     5.532370 k
58031.2078    0.0000     5.528390 k
58031.3235    0.0000     5.564710 k
58031.4392    0.0000     5.570150 k
58031.5550    0.0000     5.559090 k
58031.6707    0.0000     5.582810 k
58031.7865    0.0000     5.582120 k
58031.9022    0.0000     5.591400 k
58032.0179    0.0000     5.584070 k
58032.1337    0.0000     5.590260 k
58032.2494    0.0000     5.565520 k
58032.3652    0.0000     5.622510 k
58032.4809    0.0000     5.618330 k
58032.5966    0.0000     5.605620 k
58032.7124    0.0000     5.622240 k
58032.8281    0.0000     5.634980 k
58032.9439    0.0000     5.643750 k
58033.0596    0.0000     5.634480 k
58033.1753    0.0000     5.640850 k
58033.2911    0.0000     5.647740 k
58033.4068    0.0000     5.652290 k
58033.5226    0.0000     5.655490 k
58033.6383    0.0000     5.643970 k
58033.7541    0.0000     5.688710 k
58033.8698    0.0000     5.687980 k
58033.9855    0.0000     5.696040 k
58034.1013    0.0000     5.683900 k
58034.2170    0.0000     5.693230 k
58034.3328    0.0000     5.686930 k
58034.4485    0.0000     5.719090 k
58034.5642    0.0000     5.714350 k
58034.6800    0.0000     5.729520 k
58034.7957    0.0000     5.731110 k
58034.9115    0.0000     5.742710 k
58035.0272    0.0000     5.735850 k
58035.1429    0.0000     5.772340 k
58035.2587    0.0000     5.688640 k
58035.3744    0.0000     5.753590 k
58035.4902    0.0000     5.765260 k
58035.6059    0.0000     5.765260 k
58035.7216    0.0000     5.784160 k
58035.8374    0.0000     5.792230 k
58035.9531    0.0000     5.802330 k
58036.0689    0.0000     5.780360 k
58036.1846    0.0000     5.788670 k
58036.3003    0.0000     5.811910 k
58036.4161    0.0000     5.793470 k
58036.5318    0.0000     5.821140 k
58036.6476    0.0000     5.807080 k
58036.7633    0.0000     5.819550 k
58036.8791    0.0000     5.815220 k
58036.9948    0.0000     5.834380 k
58037.1105    0.0000     5.842550 k
58037.2263    0.0000     5.865680 k
58037.3420    0.0000     5.834030 k
58037.4578    0.0000     5.863810 k
58037.5735    0.0000     5.848430 k
58037.6892    0.0000     5.876020 k
58037.8050    0.0000     5.871580 k
58037.9207    0.0000     5.873400 k
58038.0365    0.0000     5.860150 k
58038.1522    0.0000     5.890440 k
58038.2679    0.0000     5.807830 k
58038.3837    0.0000     5.881680 k
58038.4994    0.0000     5.895540 k
58038.6152    0.0000     5.914140 k
58038.7309    0.0000     5.916520 k
58038.8466    0.0000     5.917880 k
58038.9624    0.0000     5.935220 k
58039.0781    0.0000     5.903000 k
58039.1939    0.0000     5.929710 k
58039.3096    0.0000     5.944220 k
58039.4253    0.0000     5.949630 k
58039.5411    0.0000     5.943590 k
58039.6568    0.0000     5.954700 k
58039.7726    0.0000     5.965790 k
58039.8883    0.0000     5.971900 k
58040.0041    0.0000     5.987920 k
58040.1198    0.0000     5.962920 k
58040.2355    0.0000     6.009650 k
58040.3513    0.0000     5.987020 k
58040.4670    0.0000     6.007550 k
58040.5828    0.0000     6.000910 k
58040.6985    0.0000     6.013040 k
58040.8142    0.0000     6.035080 k
58040.9300    0.0000     6.018980 k
58041.0457    0.0000     6.026840 k
58041.1615    0.0000     6.015120 k
58041.2772    0.0000     6.021250 k
58041.3929    0.0000     6.043930 k
58041.5087    0.0000     6.001490 k
58041.6244    0.0000     6.050500 k
58041.7402    0.0000     6.058040 k
58041.8559    0.0000     6.051330 k
58041.9716    0.0000     6.056950 k
58042.0874    0.0000     6.075460 k
58042.2031    0.0000     6.068290 k
58042.3189    0.0000     6.079930 k
58042.4346    0.0000     6.091470 k
58042.5503    0.0000     6.051520 k
58042.6661    0.0000     6.097980 k
58042.7818    0.0000     6.117840 k
58042.8976    0.0000     6.111840 k
58043.0133    0.0000     6.110700 k
58043.1291    0.0000     6.128790 k
58043.2448    0.0000     6.054960 k
58043.3605    0.0000     6.118130 k
58043.4763    0.0000     6.134000 k
58043.5920    0.0000     6.139860 k
58043.7078    0.0000     6.146000 k
58043.8235    0.0000     6.152660 k
58043.9392    0.0000     6.160650 k
58044.0550    0.0000     6.158260 k
58044.1707    0.0000     6.168650 k
58044.2865    0.0000     6.170710 k
58044.4022    0.0000     6.165340 k
58044.5179    0.0000     6.153650 k
58044.6337    0.0000     6.194230 k
58044.7494    0.0000     6.190500 k
58044.8652    0.0000     6.202110 k
58044.9809    0.0000     6.199000 k
58045.0966    0.0000     6.206960 k
58045.2124    0.0000     6.221670 k
58045.3281    0.0000     6.224070 k
58045.4439    0.0000     6.237990 k
58045.5596    0.0000     6.237510 k
58045.6753    0.0000     6.227950 k
58045.7911    0.0000     6.255840 k
58045.9068    0.0000     6.256780 k
58046.0226    0.0000     6.243050 k
58046.1383    0.0000     6.253360 k
58046.2541    0.0000     6.283320 k
58046.3698    0.0000     6.275050 k
58046.4855    0.0000     6.264350 k
58046.6013    0.0000     6.279330 k
58046.7170    0.0000     6.302980 k
58046.8328    0.0000     6.305100 k
58046.9485    0.0000     6.315170 k
58047.0642    0.0000     6.302410 k
58047.1800    0.0000     6.302680 k
58047.2957    0.0000     6.305130 k
58047.4115    0.0000     6.326820 k
58047.5272    0.0000     6.333760 k
58047.6429    0.0000     6.340600 k
58047.7587    0.0000     6.329210 k
58047.8744    0.0000     6.350510 k
58047.9902    0.0000     6.345250 k
58048.1059    0.0000     6.370580 k
58048.2216    0.0000     6.366390 k
58048.3374    0.0000     6.349560 k
58048.4531    0.0000     6.371150 k
58048.5689    0.0000     6.374460 k
58048.6846    0.0000     6.395590 k
58048.8003    0.0000     6.401110 k
58048.9161    0.0000     6.397900 k
58049.0318    0.0000     6.389670 k
58049.1476    0.0000     6.397980 k
58049.2633    0.0000     6.404620 k
58049.3791    0.0000     6.403040 k
58049.4948    0.0000     6.442770 k
58049.6105    0.0000     6.414410 k
58049.7263    0.0000     6.427840 k
58049.8420    0.0000     6.401470 k
58049.9578    0.0000     6.449350 k
58050.0735    0.0000     6.462480 k
58050.1892    0.0000     6.454370 k
58050.3050    0.0000     6.444610 k
58050.4207    0.0000     6.488330 k
58050.5365    0.0000     6.463200 k
58050.6522    0.0000     6.493350 k
58050.7679    0.0000     6.488030 k
58050.8837    0.0000     6.499410 k
58050.9994    0.0000     6.490970 k
58051.1152    0.0000     6.509200 k
58051.2309    0.0000     6.486830 k
58051.3466    0.0000     6.506690 k
58051.4624    0.0000     6.523700 k
58051.5781    0.0000     6.528360 k
58051.6939    0.0000     6.542700 k
58051.8096    0.0000     6.543860 k
58051.9253    0.0000     6.569810 k
58052.0411    0.0000     6.535190 k
58052.1568    0.0000     6.563020 k
58052.2726    0.0000     6.547140 k
58052.3883    0.0000     6.553110 k
58052.5041    0.0000     6.559010 k
58052.6198    0.0000     6.567540 k
58052.7355    0.0000     6.577060 k
58052.8513    0.0000     6.608230 k
58052.9670    0.0000     6.570630 k
58053.0828    0.0000     6.610700 k
58053.1985    0.0000     6.617690 k
58053.3142    0.0000     6.637410 k
58053.4300    0.0000     6.651310 k
58053.5457    0.0000     6.624400 k
58053.6615    0.0000     6.606930 k
58053.7772    0.0000     6.649870 k
58053.8929    0.0000     6.651740 k
58054.0087    0.0000     6.607350 k
58054.1244    0.0000     6.664200 k
58054.2402    0.0000     6.659240 k
58054.3559    0.0000     6.684750 k
58054.4716    0.0000     6.651300 k
58054.5874    0.0000     6.674320 k
58054.7031    0.0000     6.696620 k
58054.8189    0.0000     6.684680 k
58054.9346    0.0000     6.704110 k
58055.0503    0.0000     6.712780 k
58055.1661    0.0000     6.700920 k
58055.2818    0.0000     6.714240 k
58055.3976    0.0000     6.732220 k
58055.5133    0.0000     6.702230 k
58055.6291    0.0000     6.748690 k
58055.7448    0.0000     6.751570 k
58055.8605    0.0000     6.749140 k
58055.9763    0.0000     6.754810 k
58056.0920    0.0000     6.746150 k
58056.2078    0.0000     6.645310 k
