    MJD       PKS-TID  GPS-PKS  NSITE  Date and comments

 49177.00       5.002             7    090793
 49178.00       5.081             7    100793
 49179.00       5.163             7    110793
 49180.00       5.261             7    120793
 49181.00       5.343             7    130793
 49182.00       5.434             7    140793
 49183.00       5.504             7    150793
 49184.00       5.600             7    160793
 49185.00       5.688             7    170793
 49186.00       5.773             7    180793
 49187.00       5.853             7    190793
 49188.00       5.955             7    200793
 49189.00       6.054             7    210793
 49190.00       6.182             7    220793
 49191.00       6.352             7    230793
 49192.00       6.457             7    240793
 49193.00       6.546             7    250793
 49194.00       6.619             7    260793
 49195.00       6.695             7    270793
 49196.00       6.786             7    280793
 49197.00       6.879             7    290793
 49198.00       6.961             7    300793
 49199.00       7.043             7    310793
 49215.00       8.596             7    160893
 49216.00       8.683             7    170893
 49217.00       8.767             7    180893
 49218.00       8.846             7    190893
 49219.00       8.926             7    200893
 49220.00       9.011             7    210893
 49221.00       9.096             7    220893
 49222.00       9.178             7    230893
 49223.00       9.260             7    240893
 49235.00      10.443             7    050993
 49236.00      10.537             7    060993
 49237.00      10.605             7    070993
 49238.00      10.685             7    080993
 49266.00       3.530             7    061093
 49267.00       3.588             7    071093
 49268.00       3.662             7    081093
 49269.00       3.722             7    091093
 49270.00       3.802             7    101093
 49271.00       3.886             7    111093
 49272.00       3.964             7    121093
 49273.00       4.050             7    131093
 49274.00       4.129             7    141093
 49275.00       4.211             7    151093
 49276.00       4.290             7    161093
 49277.00       4.368             7    171093
 49278.00       4.441             7    181093
 49279.00       4.511             7    191093
 49280.00       4.582             7    191093
 49285.00       5.010             7    251093
 49286.00       5.079             7    261093
 49287.00       5.153             7    261093
 49288.00       5.214             7    281093
 49289.00       5.283             7    291093
 49290.00       5.358             7    301093
 49291.00       5.436             7    311093
 49308.00       3.068             7    171193
 49309.00       3.168             7    181193
 49310.00       3.255             7    191193
 49311.00       3.328             7    201193
 49312.00       3.380             7    211193
 49313.00       3.445             7    221193
 49314.00       3.530             7    231193
 49315.00       3.621             7    241193
 49316.00       3.701             7    251193
 49317.00       3.792             7    261193
 49318.00       3.853             7    271193
 49319.00       3.926             7    281193
 49320.00       3.996             7    291193
 49321.00       4.066             7    301193
 49322.00       4.147             7    011293
 49323.00       4.272             7    021293
 49324.00       4.386             7    031293
 49325.00       4.458             7    041293
 49326.00       4.505             7    051293
 49327.00       4.581             7    061293
 49328.00       4.665             7    071293
 49329.00       4.731             7    081293
 49330.00       4.799             7    091293
 49331.00       4.449             7    101293
 49332.00       4.069             7    111293
 49333.00       3.682             7    121293
 49334.00       3.293             7    131293
 49335.00       6.048             7    141293
 49336.00       5.814             7    151293
 49337.00       5.644             7    161293
 49338.00       5.493             7    171293
 49339.00       5.346             7    181293
 49340.00       5.403             7    191293
 49341.00       5.443             7    201293
 49342.00       5.530             7    211293
 49343.00       5.587             7    221293
 49344.00       5.627             7    231293
 49345.00       5.724             7    241293
 49346.00       5.829             7    251293
 49347.00       5.877             7    261293
 49348.00       5.938             7    271293
 49349.00       6.027             7    281293
 49350.00       6.089             7    291293
 49351.00       6.138             7    301293
 49352.00       6.194             7    311293
 49353.00       6.125             7    010194
 49354.00       6.199             7    020194
 49355.00       6.278             7    030194
 49356.00       6.361             7    040194
 49357.00       6.422             7    050194
 49358.00       6.511             7    060194
 49359.00       6.589             7    070194
 49360.00       6.667             7    080194
 49361.00       6.711             7    090194
 49362.00       6.777             7    100194
 49363.00       6.849             7    110194
 49364.00       6.877             7    120194
 49365.00       6.962             7    130194
 49366.00       6.931             7    140194
 49367.00       6.805             7    150194
 49371.00       7.326             7    190194
 49372.00       7.313             7    200194
 49373.00       7.383             7    210194
 49374.00       7.447             7    220194
 49375.00       7.510             7    230194
 49376.00       7.482             7    240194
 49377.00       6.450             7    250194
 49384.00       8.133             7    010294
 49385.00       8.166             7    020294
 49386.00       8.219             7    030294
 49387.00       8.281             7    040294
 49388.00       8.340             7    050294
 49389.00       8.394             7    060294
 49390.00       8.434             7    070294
 49391.00       8.507             7    080294
 49392.00       8.553             7    090294
 49393.00       8.596             7    100294
 49403.00       9.172             7    200294
 49404.00       9.181             7    210294
 49405.00       9.215             7    220294
 49406.00       9.285             7    230294
 49413.00       0.697             7    020394
 49414.00       0.934             7    030394
 49415.00       1.175             7    040394
 49416.00       1.190             7    050394
 49417.00       1.231             7    060394
 49418.00       1.292             7    070394
 49419.00       1.430             7    080394
 49420.00       1.396             7    090394
 49421.00       1.434             7    100394
 49422.00       1.483             7    110394
 49451.00      -1.594             7    090494
 49452.00      -1.518             7    100494
 49453.00      -1.441             7    110494
 49454.00      -1.268             7    120494
 49455.00      -1.074             7    130494
 49456.00      -1.025             7    140494
 49457.00      -0.978             7    150494
 49458.00      -0.953             7    160494
 49459.00      -0.918             7    170494
 49460.00      -0.882             7    180494
 49473.00      -0.505             7    010594
 49474.00      -0.470             7    020594
 49475.00      -0.439             7    030594
 49476.00      -0.423             7    040594
 49477.00      -0.478             7    050594
 49478.00      -0.435             7    060594
 49479.00      -0.336             7    070594
 49480.00      -0.289             7    080594
 49481.00      -0.259             7    090594
 49482.00      -0.226             7    100594
 49483.00      -0.178             7    110594
 49484.00      -0.159             7    120594
 49485.00      -0.134             7    130594
 49486.00      -0.109             7    140594
 49487.00      -0.077             7    150594
 49488.00      -0.047             7    160594
 49489.00      -0.021             7    170594
 49490.00       0.003             7    180594
 49491.00       0.039             7    190594
 49492.00       0.064             7    200594
 49515.00       1.287             7    120694
 49516.00       1.319             7    130694
 49517.00       1.351             7    140694
 49518.00       1.381             7    150694
 49519.00       1.410             7    160694
 49520.00       1.375             7    170694
 49522.00       1.549             7    190694
 49523.00       1.534             7    200694
 49524.00       1.528             7    210694
 49525.00       1.548             7    220694
 49526.00       1.561             7    230694
 49527.00       1.657             7    240694
 49528.00       1.694             7    250694
 49529.00       1.725             7    260694
 49530.00       1.757             7    270694
 49531.00       1.785             7    280694
 49532.00       1.818             7    290694
 49533.00       1.856             7    300694
 49534.00       1.888             7    010794
 49535.00       1.920             7    020794
 49536.00       1.953             7    030794
 49537.00       1.984             7    040794
 49538.00       2.011             7    050794
 49539.00       2.049             7    060794
 49540.00       2.071             7    070794
 49541.00       2.097             7    080794
 49542.00       2.134             7    090794
 49543.00       2.173             7    100794
 49544.00       2.215             7    110794
 49545.00       2.263             7    120794
 49556.00       2.862             7    230794
 49557.00       2.886             7    240794
 49558.00       2.894             7    250794
 49559.00       2.950             7    260794
 49560.00       2.984             7    270794
 49561.00       3.027             7    280794
 49562.00       3.055             7    290794
 49563.00       3.082             7    300794
 49564.00       3.129             7    310794
 49565.00       3.172             7    010894
 49566.00       3.211             7    020894
 49567.00       3.252             7    030894
 49568.00       3.289             7    040894
 49569.00       3.328             7    050894
 49570.00       3.367             7    060894
 49571.00       3.409             7    070894
 49572.00       3.456             7    080894
 49573.00       3.491             7    090894
 49574.00       3.534             7    100894
 49575.00       3.575             7    110894
 49576.00       3.607             7    120894
 49577.00       3.666             7    130894
 49578.00       3.697             7    140894
 49579.00       3.736             7    150894
 49580.00       3.781             7    160894
 49588.00       4.098             7    240894
 49589.00       4.161             7    250894
 49590.00       4.204             7    260894
 49591.00       4.242             7    270894
 49601.00      -2.286             7    060994
 49602.00      -2.264             7    070994
 49603.00      -2.223             7    080994
 49604.00      -2.167             7    090994
 49605.00      -2.127             7    100994
 49606.00      -2.089             7    110994
 49607.00      -2.059             7    120994
 49608.00      -2.004             7    130994
 49609.00      -1.962             7    140994
 49610.00      -1.927             7    150994
 49611.00      -1.897             7    160994
 49613.00      -1.804             7    180994
 49614.00      -1.770             7    190994
 49615.00      -1.725             7    200994
 49616.00      -1.688             7    210994
 49617.00      -1.659             7    220994
 49618.00      -1.364             7    230994
 49619.00      -0.854             7    240994
 49620.00      -0.902             7    250994
 49621.00      -0.954             7    260994
 49622.00      -1.003             7    270994
 49623.00      -1.053             7    280994
 49624.00      -1.102             7    290994
 49625.00      -1.155             7    300994
 49640.00      -0.761             7    151094
 49641.00      -0.724             7    161094
 49642.00      -0.687             7    171094
 49643.00      -0.619             7    181094
 49644.00      -0.575             7    191094
 49645.00      -0.534             7    201094
 49646.00      -0.499             7    211094
 49647.00      -0.456             7    211094
 49697.00      -4.792             7    111294
 49698.00      -5.011             7    121294
 49699.00      -5.193             7    131294
 49700.00      -5.386             7    141294
 49701.00      -5.553             7    151294
 49702.00      -5.749             7    161294
 49703.00      -5.946             7    171294
 49704.00      -6.116             7    181294
 49705.00      -6.274             7    191294
 49706.00      -6.470             7    201294
 49707.00      -6.653             7    211294
 49708.00      -6.804             7    221294
 49709.00      -6.969             7    231294
 49710.00      -7.149             7    241294
 49711.00      -7.334             7    241294
 49726.00      -9.949             7    090195
 49727.00     -10.171             7    100195
 49728.00     -10.353             7    110195
 49729.00     -10.539             7    120195
 49730.00     -10.711             7    130195
 49731.00     -10.855             7    140195
 49732.00     -11.005             7    150195
 49733.00     -10.155             7    160195
 49734.00     -10.295             7    170195
 49735.00     -11.443             7    180195
 49736.00     -11.621             7    190195
 49737.00     -11.779             7    200195
 49738.00     -11.954             7    210195
 49739.00     -12.133             7    220195
 49740.00     -12.297             7    230195
 49760.00     -15.198             7    120295
 49761.00     -15.394             7    130295
 49762.00     -15.547             7    140295
 49763.00     -15.703             7    150295
 49764.00     -15.842             7    160295
 49765.00     -16.001             7    170295
 49766.00     -16.163             7    170295
 49784.00     -18.847             7    080395
 49785.00     -19.019             7    090395
 49786.00     -19.176             7    100395
 49787.00     -19.331             7    110395
 49788.00     -19.496             7    120395
 49789.00     -19.663             7    130395
 49790.00     -19.816             7    140395
 49791.00     -19.972             7    140395
 49816.00       0.056             7    090495
 49817.00       0.061             7    100495
 49818.00       0.101             7    110495
 49819.00       0.142             7    120495
 49820.00       0.180             7    130495
 49821.00       0.225             7    140495
 49841.00       1.756             7    040595
 49842.00       1.805             7    050595
 49843.00       1.841             7    060595
 49844.00       1.877             7    070595
 49845.00       1.909             7    080595
